Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000017609,SPRY domain-containing SOCS box protein 2
ENSOARG00000017611,
ENSOARG00000017612,melanoma-associated antigen B17-like
ENSOARG00000017619,"cat eye syndrome chromosome region, candidate 6"
ENSOARG00000017621,
ENSOARG00000017622,
ENSOARG00000017623,mucin-2-like
ENSOARG00000017629,olfactory receptor 2AP1-like
ENSOARG00000017632,cyclin D1
ENSOARG00000017635,male-enhanced antigen 1-like
ENSOARG00000017636,ubiquitin specific peptidase 32
ENSOARG00000017640,endogenous retrovirus group K member 6 Pro protein-like
ENSOARG00000017644,VN1R4
ENSOARG00000017645,
ENSOARG00000017647,
ENSOARG00000017651,
ENSOARG00000017657,MAGE family member A10
ENSOARG00000017658,transmembrane protein 88
ENSOARG00000017659,
ENSOARG00000017661,olfactory receptor family 5 subfamily H member 2
ENSOARG00000017662,
ENSOARG00000017665,
ENSOARG00000017666,
ENSOARG00000017672,
ENSOARG00000017674,disintegrin and metalloproteinase domain-containing protein 20-like
ENSOARG00000017676,
ENSOARG00000017679,ferritin heavy chain
ENSOARG00000017680,
ENSOARG00000017681,olfactory receptor 5K3-like
ENSOARG00000017684,protein FAM209A-like
ENSOARG00000017687,
ENSOARG00000017692,histone H3-like centromeric protein A
ENSOARG00000017698,POU class 6 homeobox 2
ENSOARG00000017699,
ENSOARG00000017701,"TPA: POU domain, class 6, transcription factor 2"
ENSOARG00000017708,toll interacting protein
ENSOARG00000017710,
ENSOARG00000017712,
ENSOARG00000017718,Ubiquitin carboxyl-terminal hydrolase 17
ENSOARG00000017723,left-right determination factor 2
ENSOARG00000017724,basic salivary proline-rich protein 1-like
ENSOARG00000017727,
ENSOARG00000017728,
ENSOARG00000017736,
ENSOARG00000017738,
ENSOARG00000017744,Protein DBF4 like protein B
ENSOARG00000017749,olfactory receptor 1030-like
ENSOARG00000017751,zinc finger and SCAN domain-containing protein 23
ENSOARG00000017753,soma ferritin
ENSOARG00000017756,olfactory receptor 5M10-like
ENSOARG00000017762,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
ENSOARG00000017764,
ENSOARG00000017773,olfactory receptor family 4 subfamily C member 46
ENSOARG00000017774,pyrroline-5-carboxylate reductase 2
ENSOARG00000017785,family with sequence similarity 89 member A
ENSOARG00000017789,beta-1-syntrophin
ENSOARG00000017790,C-Myc-binding protein
ENSOARG00000017793,interferon regulatory factor 2 binding protein 2
ENSOARG00000017796,probable E3 ubiquitin-protein ligase HERC6
ENSOARG00000017798,
ENSOARG00000017800,
ENSOARG00000017803,LOW QUALITY PROTEIN: endogenous retrovirus group K member 9 Pol protein-like
ENSOARG00000017808,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000017809,cytochrome c oxidase subunit 7A2 like
ENSOARG00000017815,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000017822,ASC1
ENSOARG00000017825,serum/glucocorticoid regulated kinase family member 3
ENSOARG00000017828,LOW QUALITY PROTEIN: protein Bop
ENSOARG00000017830,Ufm1-specific protease 1
ENSOARG00000017831,zinc finger and SCAN domain-containing protein 31
ENSOARG00000017832,protein FAM228B
ENSOARG00000017834,
ENSOARG00000017846,ankyrin repeat and KH domain containing 1
ENSOARG00000017847,MAM and LDL-receptor class A domain-containing protein 1
ENSOARG00000017848,40S ribosomal protein S3a-like
ENSOARG00000017854,
ENSOARG00000017857,ribosomal protein L6
ENSOARG00000017863,hypothetical protein H671_xg20318
ENSOARG00000017866,
ENSOARG00000017868,
ENSOARG00000017871,
ENSOARG00000017874,
ENSOARG00000017877,uncharacterized protein LOC104980407
ENSOARG00000017882,protein kinase C-binding protein 1
ENSOARG00000017883,RNA-binding protein 38
ENSOARG00000017890,BTB domain containing 11
ENSOARG00000017891,olfactory receptor 2AE1
ENSOARG00000017895,
ENSOARG00000017896,
ENSOARG00000017898,T-cell receptor gamma chain precursor - sheep (fragment)
ENSOARG00000017902,protein Ycf2
ENSOARG00000017904,ceramide synthase 5
ENSOARG00000017905,ubiquitin C-terminal hydrolase L3
ENSOARG00000017911,TMEM30C
ENSOARG00000017916,anaphase promoting complex subunit 11
ENSOARG00000017918,catechol O-methyltransferase
ENSOARG00000017919,shootin-1
ENSOARG00000017922,class A basic helix-loop-helix protein 15-like
ENSOARG00000017923,hypothetical protein M91_10029
ENSOARG00000017928,T-cell receptor gamma chain V6-J3-C3
ENSOARG00000017934,methyltransferase like 16
ENSOARG00000017935,zinc finger protein 397-like
ENSOARG00000017936,
ENSOARG00000017938,apolipoprotein F-like
ENSOARG00000017944,serine/arginine-rich splicing factor 6
ENSOARG00000017946,
ENSOARG00000017947,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000017952,olfactory receptor 9-like
ENSOARG00000017956,
ENSOARG00000017966,olfactory receptor 10P1-like
ENSOARG00000017968,putative transcription factor SPT20 homolog-like 2-like
ENSOARG00000017969,protein FAM220A-like
ENSOARG00000017970,T-cell receptor gamma-2 chain C region-like
ENSOARG00000017972,
ENSOARG00000017975,
ENSOARG00000017981,armadillo repeat gene deleted in velocardiofacial syndrome
ENSOARG00000017984,MYEOV2
ENSOARG00000017988,
ENSOARG00000017990,olfactory receptor 10P1-like
ENSOARG00000018001,LOW QUALITY PROTEIN: immunoglobulin-like and fibronectin type III domain-containing protein 1
ENSOARG00000018003,olfactory receptor 10AC1-like
ENSOARG00000018009,NTF2-related export protein 2
ENSOARG00000018012,OR6C4
ENSOARG00000018013,uncharacterized protein LOC101112886
ENSOARG00000018020,60S ribosomal protein L30-like
ENSOARG00000018024,G-protein coupled estrogen receptor 1-like
ENSOARG00000018025,spermatid perinuclear RNA-binding protein
ENSOARG00000018026,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000018029,
ENSOARG00000018030,transmembrane protein 45A
ENSOARG00000018031,olfactory receptor family 6 subfamily C member 2
ENSOARG00000018032,unnamed protein product
ENSOARG00000018033,acyl-CoA synthetase family member 3
ENSOARG00000018037,proline-rich protein 33-like
ENSOARG00000018043,olfactory receptor 2T3-like
ENSOARG00000018044,transmembrane protein 45A
ENSOARG00000018048,Potassium voltage-gated channel subfamily D member 2
ENSOARG00000018050,
ENSOARG00000018053,zinc finger protein 165
ENSOARG00000018054,
ENSOARG00000018059,
ENSOARG00000018061,
ENSOARG00000018065,centromere protein O
ENSOARG00000018068,cytochrome P450 3A28
ENSOARG00000018072,LOW QUALITY PROTEIN: plakophilin-1
ENSOARG00000018073,olfactory receptor family 6 subfamily C member 2
ENSOARG00000018075,"BOLA class I histocompatibility antigen, alpha chain BL3-6"
ENSOARG00000018078,
ENSOARG00000018080,2'-5'-oligoadenylate synthase 1-like
ENSOARG00000018083,aldehyde dehydrogenase 3 family member A2
ENSOARG00000018086,Glycerol kinase
ENSOARG00000018087,RING finger protein 186-like
ENSOARG00000018088,LOW QUALITY PROTEIN: histone-binding protein RBBP4-like
ENSOARG00000018089,bax inhibitor 1-like
ENSOARG00000018092,olfactory receptor family 6 subfamily C member 2
ENSOARG00000018104,X-box-binding protein 1 isoform XBP1(S)
ENSOARG00000018106,
ENSOARG00000018109,TRK-fused gene
ENSOARG00000018114,60S ribosomal protein L31-like
ENSOARG00000018115,Putative olfactory receptor 2B8
ENSOARG00000018124,
ENSOARG00000018128,pollen-specific leucine-rich repeat extensin-like protein 2
ENSOARG00000018129,EP300-interacting inhibitor of differentiation 1
ENSOARG00000018130,chondroadherin-like protein
ENSOARG00000018131,protein FAM209A
ENSOARG00000018134,
ENSOARG00000018136,TPA: hypothetical protein BOS_26319
ENSOARG00000018149,60S ribosomal protein L17
ENSOARG00000018155,Putative olfactory receptor 2B8
ENSOARG00000018158,synapsin III
ENSOARG00000018161,
ENSOARG00000018164,LOW QUALITY PROTEIN: taste receptor type 2 member 134-like
ENSOARG00000018173,uncharacterized protein LOC102337103
ENSOARG00000018177,polyubiquitin-C
ENSOARG00000018181,
ENSOARG00000018183,probable UDP-sugar transporter protein SLC35A4
ENSOARG00000018188,BCL2 interacting protein 3 like
ENSOARG00000018194,
ENSOARG00000018196,
ENSOARG00000018199,LOW QUALITY PROTEIN: TRPM8 channel-associated factor 2
ENSOARG00000018200,
ENSOARG00000018207,ribosomal protein L4
ENSOARG00000018218,protein HP-25 homolog 1
ENSOARG00000018230,uncharacterized protein LOC102185742
ENSOARG00000018232,liver carboxylesterase-like
ENSOARG00000018233,histone H2B type 2-F-like
ENSOARG00000018236,ferritin light chain
ENSOARG00000018239,BCDIN3 domain containing RNA methyltransferase
ENSOARG00000018242,vascular cell adhesion protein 1-like
ENSOARG00000018249,LOW QUALITY PROTEIN: lathosterol oxidase
ENSOARG00000018251,melanoma-associated antigen B10
ENSOARG00000018253,
ENSOARG00000018255,family with sequence similarity 174 member A
ENSOARG00000018256,dystrophin
ENSOARG00000018261,
ENSOARG00000018263,protein HP-25 homolog 2
ENSOARG00000018267,"Chain A, Crystal Structure Of A Smad Mh1 Domain Bound To Dna"
ENSOARG00000018268,liver carboxylesterase-like
ENSOARG00000018269,
ENSOARG00000018271,protein HP-20 homolog
ENSOARG00000018273,olfactory receptor 2A2-like
ENSOARG00000018278,ATP-binding cassette sub-family A member 3
ENSOARG00000018285,
ENSOARG00000018287,
ENSOARG00000018293,
ENSOARG00000018294,putative POM121-like protein 1
ENSOARG00000018295,
ENSOARG00000018303,vascular cell adhesion protein 1-like
ENSOARG00000018304,histone H2B type 1-like
ENSOARG00000018305,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000018308,
ENSOARG00000018315,OR10C1
ENSOARG00000018322,olfactory receptor 2A2-like
ENSOARG00000018333,OR10C1
ENSOARG00000018334,"probable splicing factor, arginine/serine-rich 4"
ENSOARG00000018335,carboxymethylenebutenolidase homolog
ENSOARG00000018343,metallothionein-2
ENSOARG00000018346,
ENSOARG00000018355,melanoma-associated antigen B10-like
ENSOARG00000018359,serine/arginine-rich splicing factor 2-like
ENSOARG00000018361,
ENSOARG00000018363,
ENSOARG00000018370,
ENSOARG00000018371,Elongation factor 1-alpha 1
ENSOARG00000018372,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4E"
ENSOARG00000018380,
ENSOARG00000018384,
ENSOARG00000018390,LOW QUALITY PROTEIN: MLV-related proviral Env polyprotein-like
ENSOARG00000018391,GRB2-related adapter protein
ENSOARG00000018400,X-ray repair cross complementing 6
ENSOARG00000018404,
ENSOARG00000018407,ribosomal protein S15a
ENSOARG00000018409,
ENSOARG00000018413,
ENSOARG00000018420,Putative protein FAM172B
ENSOARG00000018422,ribosomal protein L5
ENSOARG00000018425,5-hydroxytryptamine receptor 1D
ENSOARG00000018428,
ENSOARG00000018430,complement factor H
ENSOARG00000018431,LOW QUALITY PROTEIN: PEST proteolytic signal-containing nuclear protein
ENSOARG00000018451,SNU13
ENSOARG00000018453,zinc finger protein 337-like
ENSOARG00000018456,ribosomal protein S15a
ENSOARG00000018457,cytochrome P450 3A24
ENSOARG00000018459,mitochondrial ribosome associated GTPase 1
ENSOARG00000018461,thyroid receptor-interacting protein 11
ENSOARG00000018462,eukaryotic translation initiation factor 4A2
ENSOARG00000018467,signal-regulatory protein delta
ENSOARG00000018470,
ENSOARG00000018473,
ENSOARG00000018490,synaptotagmin 2
ENSOARG00000018492,endogenous retrovirus group K member 5 Gag polyprotein
ENSOARG00000018494,
ENSOARG00000018497,transmembrane protein 225-like
ENSOARG00000018499,hypothetical protein EGK_09391
ENSOARG00000018500,histone H2B type 1-like
ENSOARG00000018506,
ENSOARG00000018508,achaete-scute homolog 4
ENSOARG00000018511,
ENSOARG00000018512,zinc finger protein 239-like
ENSOARG00000018513,histone H2B type 1
ENSOARG00000018514,protein phosphatase 1 regulatory subunit 12B
ENSOARG00000018515,LOC515042 protein
ENSOARG00000018519,60S ribosomal protein L24
ENSOARG00000018522,
ENSOARG00000018526,"NACHT, LRR and PYD domains-containing protein 12-like"
ENSOARG00000018529,Synapsin-3
ENSOARG00000018531,
ENSOARG00000018533,"DNA polymerase epsilon 3, accessory subunit"
ENSOARG00000018534,TBC1 domain family member 24
ENSOARG00000018535,DnaJ heat shock protein family (Hsp40) member B8
ENSOARG00000018537,hypothetical protein EGK_20759
ENSOARG00000018538,zinc finger with KRAB and SCAN domains 5
ENSOARG00000018539,uncharacterized protein LOC101103876
ENSOARG00000018542,zinc finger protein 394
ENSOARG00000018546,
ENSOARG00000018547,lysosome-associated membrane glycoprotein 1
ENSOARG00000018549,zinc finger protein 501-like
ENSOARG00000018551,acidic nuclear phosphoprotein 32 family member A
ENSOARG00000018552,host cell factor 1-like
ENSOARG00000018553,olfactory receptor 5D18-like
ENSOARG00000018554,catechol O-methyltransferase
ENSOARG00000018555,testis-expressed sequence 13B protein
ENSOARG00000018556,acyl-CoA dehydrogenase family member 10
ENSOARG00000018557,
ENSOARG00000018561,uncharacterized protein LOC106502455
ENSOARG00000018562,
ENSOARG00000018569,LOW QUALITY PROTEIN: olfactory receptor 12-like
ENSOARG00000018571,fibroin heavy chain-like
ENSOARG00000018573,leucine-rich repeat-containing G-protein coupled receptor 6-like
ENSOARG00000018574,NTF2-related export protein 2
ENSOARG00000018576,interleukin 1 receptor accessory protein like 1
ENSOARG00000018577,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2"
ENSOARG00000018578,
ENSOARG00000018581,uncharacterized protein LOC101103461
ENSOARG00000018583,LOW QUALITY PROTEIN: olfactory receptor 287-like
ENSOARG00000018584,
ENSOARG00000018587,Peptidyl-prolyl cis-trans isomerase FKBP1A
ENSOARG00000018588,cysteine rich tail 1
ENSOARG00000018589,olfactory receptor 2M3-like
ENSOARG00000018592,
ENSOARG00000018594,spindlin family member 2B
ENSOARG00000018595,
ENSOARG00000018597,
ENSOARG00000018598,LOW QUALITY PROTEIN: putative N-acetylglucosamine-6-phosphate deacetylase
ENSOARG00000018599,
ENSOARG00000018601,cAMP-regulated phosphoprotein 19
ENSOARG00000018602,
ENSOARG00000018603,
ENSOARG00000018606,
ENSOARG00000018611,interferon alpha-2
ENSOARG00000018614,transmembrane protein 121
ENSOARG00000018619,olfactory receptor family 52 subfamily E member 1 (gene/pseudogene)
ENSOARG00000018622,eukaryotic translation elongation factor 1 beta 2
ENSOARG00000018624,uncharacterized protein LOC101103461
ENSOARG00000018626,
ENSOARG00000018631,OR49
ENSOARG00000018632,receptor-type tyrosine-protein phosphatase V-like
ENSOARG00000018634,
ENSOARG00000018636,
ENSOARG00000018637,
ENSOARG00000018641,
ENSOARG00000018642,family with sequence similarity 43 member B
ENSOARG00000018643,neuropeptide FF receptor 2
ENSOARG00000018646,hypothetical protein M91_07905
ENSOARG00000018648,TAM41 mitochondrial translocator assembly and maintenance homolog
ENSOARG00000018654,
ENSOARG00000018660,
ENSOARG00000018662,E3 ubiquitin-protein ligase RLIM-like
ENSOARG00000018664,
ENSOARG00000018666,60S acidic ribosomal protein P1 isoform 1
ENSOARG00000018667,serine/arginine-rich splicing factor 2-like
ENSOARG00000018671,Ribose-phosphate pyrophosphokinase 1
ENSOARG00000018672,
ENSOARG00000018674,E3 ubiquitin-protein ligase RLIM-like
ENSOARG00000018676,"pentatricopeptide repeat-containing protein 1, mitochondrial"
ENSOARG00000018679,zinc finger protein 322
ENSOARG00000018682,LOW QUALITY PROTEIN: apolipoprotein L3-like
ENSOARG00000018683,TPA: glutaredoxin (thioltransferase)-like
ENSOARG00000018686,hypothetical protein PANDA_012018
ENSOARG00000018687,
ENSOARG00000018688,60S ribosomal protein L17-like
ENSOARG00000018691,LOW QUALITY PROTEIN: apolipoprotein L2-like
ENSOARG00000018692,melanoma-associated antigen B2-like
ENSOARG00000018694,zinc finger protein 557
ENSOARG00000018698,ferritin heavy chain-like
ENSOARG00000018703,apolipoprotein L3-like
ENSOARG00000018704,transmembrane protein 47
ENSOARG00000018706,melanoma-associated antigen B2-like
ENSOARG00000018711,adhesion G protein-coupled receptor E2
ENSOARG00000018714,zinc finger protein 671-like
ENSOARG00000018718,"LOW QUALITY PROTEIN: phenylalanine--tRNA ligase, mitochondrial"
ENSOARG00000018724,
ENSOARG00000018728,
ENSOARG00000018733,alpha-amylase 2B
ENSOARG00000018734,LOW QUALITY PROTEIN: elongation factor 1-alpha 1
ENSOARG00000018735,melanoma-associated antigen B16-like
ENSOARG00000018740,melanoma-associated antigen B16-like
ENSOARG00000018742,protocadherin-16-like
ENSOARG00000018754,spermatogenesis-associated serine-rich protein 2
ENSOARG00000018756,LOW QUALITY PROTEIN: serine/threonine-protein phosphatase PP1-gamma catalytic subunit-like
ENSOARG00000018759,biogenesis of lysosomal organelles complex 1 subunit 5
ENSOARG00000018764,small integral membrane protein 7
ENSOARG00000018768,
ENSOARG00000018772,acyl-CoA dehydrogenase family member 10
ENSOARG00000018773,BMP2 inducible kinase
ENSOARG00000018776,hypothetical protein M91_09884
ENSOARG00000018777,F-box and leucine rich repeat protein 17
ENSOARG00000018781,
ENSOARG00000018784,
ENSOARG00000018787,nucleoporin-62 C-terminal-like protein
ENSOARG00000018789,ladinin-1-like
ENSOARG00000018796,thrombospondin type 1 domain containing 4
ENSOARG00000018799,tyrosine-protein kinase Fer
ENSOARG00000018801,LOW QUALITY PROTEIN: mediator of RNA polymerase II transcription subunit 26
ENSOARG00000018802,GTP-binding nuclear protein Ran
ENSOARG00000018812,heat shock protein family B (small) member 7
ENSOARG00000018818,
ENSOARG00000018820,period circadian protein homolog 2
ENSOARG00000018821,cilia- and flagella-associated protein 47
ENSOARG00000018826,cilia- and flagella-associated protein 47
ENSOARG00000018828,60S ribosomal protein L23-like
ENSOARG00000018833,calcium-binding mitochondrial carrier protein SCaMC-1-like
ENSOARG00000018835,melanoma-associated antigen B16-like
ENSOARG00000018839,LOW QUALITY PROTEIN: protocadherin beta-12-like
ENSOARG00000018841,enhancer of zeste 2 polycomb repressive complex 2 subunit
ENSOARG00000018843,
ENSOARG00000018852,patched domain-containing protein 3-like
ENSOARG00000018856,enhancer of zeste 2 polycomb repressive complex 2 subunit
ENSOARG00000018861,hes family bHLH transcription factor 7
ENSOARG00000018864,cilia- and flagella-associated protein 47
ENSOARG00000018866,60S ribosomal protein L10
ENSOARG00000018868,lipopolysaccharide-binding protein-like
ENSOARG00000018870,
ENSOARG00000018872,mitochondrial ribosomal protein L41
ENSOARG00000018874,desmin-like
ENSOARG00000018879,tubulin alpha-1C chain-like
ENSOARG00000018883,uncharacterized protein LOC101114261
ENSOARG00000018884,Tubulin alpha-ubiquitous chain
ENSOARG00000018888,hypothetical protein M91_03928
ENSOARG00000018892,histone H2A-Bbd type 1-like
ENSOARG00000018895,PAG17 protein
ENSOARG00000018907,gamma-crystallin F
ENSOARG00000018912,ubiquitin-60S ribosomal protein L40
ENSOARG00000018914,YKT6 v-SNARE homolog (S. cerevisiae)
ENSOARG00000018917,
ENSOARG00000018919,CUGBP Elav-like family member 6
ENSOARG00000018921,olfactory receptor family 56 subfamily A member 4
ENSOARG00000018930,hexosaminidase subunit alpha
ENSOARG00000018935,
ENSOARG00000018936,LOW QUALITY PROTEIN: cytochrome P450 2D14
ENSOARG00000018939,LOW QUALITY PROTEIN: uncharacterized protein C9orf172 homolog
ENSOARG00000018948,ubiquitin conjugating enzyme E2 F (putative)
ENSOARG00000018949,transmembrane protein 202-like
ENSOARG00000018951,
ENSOARG00000018957,protein AKNAD1
ENSOARG00000018959,putative olfactory receptor 56B2
ENSOARG00000018963,ferritin heavy chain-like
ENSOARG00000018969,
ENSOARG00000018972,PR domain zinc finger protein 8
ENSOARG00000018977,uncharacterized protein LOC106992133
ENSOARG00000018991,LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like
ENSOARG00000018996,
ENSOARG00000018997,GS homeobox 2
ENSOARG00000018998,LOW QUALITY PROTEIN: histone H3-like centromeric protein A
ENSOARG00000019001,
ENSOARG00000019003,vesicle associated membrane protein 2
ENSOARG00000019006,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
ENSOARG00000019008,uncharacterized protein C4orf22 homolog
ENSOARG00000019009,protein FAM47E-like
ENSOARG00000019012,sulfiredoxin 1
ENSOARG00000019014,LOW QUALITY PROTEIN: uncharacterized protein LOC102544433
ENSOARG00000019025,melanoma-associated antigen B17-like
ENSOARG00000019029,dnaJ homolog subfamily C member 2
ENSOARG00000019030,
ENSOARG00000019032,uncharacterized protein C4orf22 homolog
ENSOARG00000019033,tripartite motif-containing protein 34-like
ENSOARG00000019039,
ENSOARG00000019043,MHC class II antigen
ENSOARG00000019046,
ENSOARG00000019048,
ENSOARG00000019053,casein kinase II subunit alpha
ENSOARG00000019054,ferritin heavy chain-like
ENSOARG00000019055,N-acetylneuraminate pyruvate lyase
ENSOARG00000019064,Protein Wnt-10b
ENSOARG00000019068,peptidyl-prolyl cis-trans isomerase A-like
ENSOARG00000019069,
ENSOARG00000019072,prefoldin subunit 2-like
ENSOARG00000019078,gamma-crystallin F
ENSOARG00000019088,"lectin, galactoside-binding, soluble, 15"
ENSOARG00000019092,60S ribosomal protein L10-like
ENSOARG00000019093,
ENSOARG00000019096,ferritin heavy chain-like
ENSOARG00000019099,tripartite motif-containing protein 34
ENSOARG00000019109,
ENSOARG00000019117,LOW QUALITY PROTEIN: ATM interactor-like
ENSOARG00000019122,Krueppel-like factor 2
ENSOARG00000019124,cleavage stimulation factor subunit 2 tau variant
ENSOARG00000019130,hemoglobin subunit epsilon-2
ENSOARG00000019133,"unc-80 homolog, NALCN activator"
ENSOARG00000019134,developmental pluripotency associated 4
ENSOARG00000019136,ferritin heavy chain-like
ENSOARG00000019144,hemoglobin subunit beta-like
ENSOARG00000019147,
ENSOARG00000019148,"unc-80 homolog, NALCN activator"
ENSOARG00000019149,ribulose-5-phosphate-3-epimerase
ENSOARG00000019151,Actin-related protein 2/3 complex subunit 2
ENSOARG00000019159,transcription factor SOX-12
ENSOARG00000019163,beta globin chain
ENSOARG00000019167,
ENSOARG00000019172,Magnesium-dependent phosphatase 1
ENSOARG00000019173,uncharacterized protein LOC101113722
ENSOARG00000019174,
ENSOARG00000019176,LOW QUALITY PROTEIN: olfactory receptor 51I2-like
ENSOARG00000019177,transmembrane 9 superfamily member 1
ENSOARG00000019181,mitochondrial ribosomal protein L13
ENSOARG00000019193,
ENSOARG00000019195,olfactory receptor 1G1-like
ENSOARG00000019200,
ENSOARG00000019204,
ENSOARG00000019205,maestro heat-like repeat-containing protein family member 2A
ENSOARG00000019207,E3 ubiquitin-protein ligase RNF31
ENSOARG00000019209,ferritin light chain-like
ENSOARG00000019229,UDP-glucuronosyltransferase 1-5-like
ENSOARG00000019236,LOW QUALITY PROTEIN: olfactory receptor 8S1-like
ENSOARG00000019243,UDP-glucuronosyltransferase 1-3-like
ENSOARG00000019248,UDP-glucuronosyltransferase 1-3-like
ENSOARG00000019251,
ENSOARG00000019256,
ENSOARG00000019259,LOW QUALITY PROTEIN: olfactory receptor 8S1-like
ENSOARG00000019263,dehydrogenase/reductase SDR family member 4
ENSOARG00000019267,"HIG1 domain family member 1A, mitochondrial-like"
ENSOARG00000019270,sperm-associated antigen 16 protein
ENSOARG00000019272,ubl carboxyl-terminal hydrolase 18
ENSOARG00000019277,
ENSOARG00000019281,glutathione S-transferase mu 1
ENSOARG00000019284,
ENSOARG00000019285,glutathione S-transferase Mu 1
ENSOARG00000019292,"ALG10B, alpha-1,2-glucosyltransferase"
ENSOARG00000019295,OX-2 membrane glycoprotein-like
ENSOARG00000019297,glutathione S-transferase mu 1
ENSOARG00000019299,deoxyuridine triphosphatase
ENSOARG00000019304,rho GTPase-activating protein 8
ENSOARG00000019307,glutathione S-transferase mu 1
ENSOARG00000019310,
ENSOARG00000019326,
ENSOARG00000019327,
ENSOARG00000019331,solute carrier family 22 member 17
ENSOARG00000019335,PC4 and SFRS1 interacting protein 1
ENSOARG00000019336,
ENSOARG00000019341,
ENSOARG00000019343,cell surface glycoprotein CD200 receptor 1-like
ENSOARG00000019352,
ENSOARG00000019357,cell surface glycoprotein CD200 receptor 1
ENSOARG00000019361,
ENSOARG00000019362,EF-hand domain family member D1
ENSOARG00000019363,
ENSOARG00000019367,
ENSOARG00000019387,LIM domain-containing protein ajuba
ENSOARG00000019394,cilia- and flagella-associated protein 44
ENSOARG00000019419,
ENSOARG00000019422,
ENSOARG00000019445,
ENSOARG00000019448,
ENSOARG00000019453,T-cell receptor alpha chain V region HPB-MLT
ENSOARG00000019455,LOW QUALITY PROTEIN: G2 and S phase-expressed protein 1
ENSOARG00000019459,T-cell receptor delta chain precursor - sheep (fragment)
ENSOARG00000019460,prochymosin precursor
ENSOARG00000019465,hypothetical protein M91_19962
ENSOARG00000019469,hypothetical protein CB1_000233032
ENSOARG00000019471,BCL2 interacting protein 3 like
ENSOARG00000019472,hypothetical protein M91_21405
ENSOARG00000019476,hypothetical protein M91_10654
ENSOARG00000019477,C-X-C motif chemokine receptor 2
ENSOARG00000019478,T-cell receptor alpha chain
ENSOARG00000019479,elongation factor 1-beta-like
ENSOARG00000019482,T-cell receptor alpha chain
ENSOARG00000019485,T-cell receptor alpha chain
ENSOARG00000019486,SF3B5
ENSOARG00000019487,T-cell receptor alpha chain
ENSOARG00000019489,uncharacterized protein LOC102185259
ENSOARG00000019492,C-X-C chemokine receptor type 1
ENSOARG00000019493,hypothetical protein M91_16823
ENSOARG00000019495,unnamed protein product
ENSOARG00000019496,hypothetical protein M91_16822
ENSOARG00000019498,uncharacterized protein LOC102390654
ENSOARG00000019501,T-cell receptor alpha chain V region HPB-MLT
ENSOARG00000019504,ALK tyrosine kinase receptor-like
ENSOARG00000019506,T-cell receptor delta chain precursor - sheep (fragment)
ENSOARG00000019507,Ig lambda chain V-II region BOH
ENSOARG00000019509,TPA: TRD@ protein-like
ENSOARG00000019511,T-cell receptor delta precursor
ENSOARG00000019514,
ENSOARG00000019519,T cell receptor delta chain variable region precursor
ENSOARG00000019521,TPA: hypothetical protein BOS_10446
ENSOARG00000019522,acidic mammalian chitinase-like
ENSOARG00000019524,
ENSOARG00000019525,T-cell receptor delta precursor
ENSOARG00000019526,T-cell receptor alpha chain
ENSOARG00000019528,AP2-associated protein kinase 1
ENSOARG00000019529,Ig kappa chain V-III region PC 7210
ENSOARG00000019536,SERTA domain containing 2
ENSOARG00000019537,uncharacterized protein LOC102397797
ENSOARG00000019538,TPA: hypothetical protein BOS_10465
ENSOARG00000019540,ribosomal protein L23a
ENSOARG00000019543,T-cell receptor alpha chain
ENSOARG00000019546,T-cell receptor alpha chain V region CTL-F3
ENSOARG00000019549,primary cilia formation
ENSOARG00000019550,T-cell receptor alpha chain
ENSOARG00000019552,acidic mammalian chitinase-like
ENSOARG00000019555,uncharacterized protein LOC102408894
ENSOARG00000019558,hypothetical protein M91_18525
ENSOARG00000019559,endogenous retrovirus group K member 25 Env polyprotein-like
ENSOARG00000019560,TRD@ protein
ENSOARG00000019562,T-cell receptor alpha chain
ENSOARG00000019567,LOC785621 protein
ENSOARG00000019570,cytochrome c oxidase subunit 7B
ENSOARG00000019571,uncharacterized protein LOC106991256
ENSOARG00000019573,hypothetical protein M91_10091
ENSOARG00000019574,oviductin precursor
ENSOARG00000019576,T-cell receptor alpha chain
ENSOARG00000019579,primary cilia formation
ENSOARG00000019580,T-cell receptor alpha chain
ENSOARG00000019581,TBC1 domain family member 22A
ENSOARG00000019582,hypothetical protein M91_16116
ENSOARG00000019583,40S ribosomal protein S3a isoform 1
ENSOARG00000019584,protein FAM19A5
ENSOARG00000019586,LOW QUALITY PROTEIN: uncharacterized protein LOC102279674
ENSOARG00000019587,
ENSOARG00000019589,T-cell receptor alpha chain
ENSOARG00000019593,T-cell receptor alpha chain V region PHDS58
ENSOARG00000019595,Chromobox protein-like protein 1
